age,pages,first_item_prize,gender,ReBuy,News_click,country,revenue,population,GDP_inhab
41.0,6.0,28.0,Fem,False,4.0,China,113.0,1360720000,9055
34.0,4.0,15.5,Fem,True,2.0,China,36.0,1360720000,9055
38.0,5.0,42.0,Fem,False,7.0,China,111.0,1360720000,9055
20.0,5.725133689839573,44.0,Fem,False,2.0,China,71.0,1360720000,9055
39.0,10.0,10.0,Fem,True,4.0,China,80.0,1360720000,9055
39.0,8.0,44.0,Fem,False,5.0,China,100.0,1360720000,9055
36.0,6.0,44.0,Masc,False,2.0,China,51.0,1360720000,9055
36.691505673106406,4.0,57.0,Masc,False,7.0,China,128.0,1360720000,9055
42.0,7.0,42.0,Masc,True,5.0,China,114.0,1360720000,9055
40.0,5.725133689839573,42.0,Fem,False,5.0,China,109.0,1360720000,9055
35.0,9.0,31.24376731301939,Masc,True,3.0,China,42.0,1360720000,9055
28.0,3.0,31.24376731301939,Masc,False,0.0,China,28.0,1360720000,9055
39.0,5.0,57.0,Fem,True,4.0,China,165.0,1360720000,9055
25.0,7.0,31.24376731301939,Masc,False,1.0,China,93.0,1360720000,9055
35.0,5.0,28.0,Fem,False,1.0,China,40.0,1360720000,9055
36.0,8.0,31.24376731301939,Fem,False,4.0,China,311.0,1360720000,9055
40.0,3.0,15.5,Masc,False,7.0,China,60.0,1360720000,9055
36.691505673106406,8.0,31.24376731301939,Fem,False,6.0,China,188.0,1360720000,9055
33.0,5.0,28.0,Masc,True,6.0,China,73.0,1360720000,9055
42.0,6.0,42.0,Masc,False,3.0,China,39.0,1360720000,9055
37.0,8.0,31.24376731301939,Masc,False,7.0,China,235.0,1360720000,9055
35.0,8.0,15.5,Masc,True,4.0,China,106.0,1360720000,9055
32.0,4.0,22.0,Fem,False,3.0,China,66.0,1360720000,9055
49.0,2.0,22.0,Masc,False,1.0,China,61.0,1360720000,9055
39.0,5.0,15.5,Fem,True,4.0,China,118.0,1360720000,9055
44.0,5.0,31.24376731301939,Fem,False,5.0,China,170.0,1360720000,9055
29.0,5.0,57.0,Fem,True,4.0,China,192.0,1360720000,9055
37.0,7.0,22.0,Fem,True,4.0,China,65.0,1360720000,9055
53.0,8.0,22.0,Fem,False,3.0,China,42.0,1360720000,9055
35.0,6.0,44.0,Fem,False,2.0,China,57.0,1360720000,9055
21.0,3.0,22.0,Fem,False,6.0,China,69.0,1360720000,9055
45.0,8.0,10.0,Fem,False,3.0,China,40.0,1360720000,9055
32.0,5.0,44.0,Fem,False,6.0,China,130.0,1360720000,9055
33.0,10.0,31.24376731301939,Fem,False,5.0,China,224.0,1360720000,9055
24.0,4.0,57.0,Fem,False,5.0,China,123.0,1360720000,9055
51.0,5.725133689839573,42.0,Fem,False,6.0,China,121.0,1360720000,9055
29.0,8.0,31.24376731301939,Masc,False,4.0,China,191.0,1360720000,9055
57.0,4.0,15.5,Masc,False,7.0,China,80.0,1360720000,9055
49.0,5.0,44.0,Masc,False,0.0,China,85.0,1360720000,9055
33.0,7.0,28.0,Fem,False,1.0,China,41.0,1360720000,9055
29.0,6.0,15.5,Masc,False,4.0,China,90.0,1360720000,9055
45.0,4.0,31.24376731301939,Masc,True,2.0,China,108.0,1360720000,9055
45.0,5.0,15.5,Fem,False,7.0,China,73.0,1360720000,9055
34.0,5.725133689839573,31.24376731301939,Masc,False,2.0,China,130.0,1360720000,9055
40.0,10.0,15.5,Fem,True,4.0,China,109.0,1360720000,9055
36.691505673106406,8.0,28.0,Fem,False,5.0,China,54.0,1360720000,9055
28.0,6.0,10.0,Masc,False,2.0,China,49.0,1360720000,9055
33.0,4.0,10.0,Fem,False,7.0,China,74.0,1360720000,9055
32.0,7.0,44.0,Masc,True,5.0,China,258.0,1360720000,9055
32.0,5.725133689839573,44.0,Masc,False,5.0,China,68.0,1360720000,9055
31.0,9.0,15.5,Masc,True,3.0,China,52.0,1360720000,9055
45.0,3.0,31.24376731301939,Masc,False,0.0,China,87.0,1360720000,9055
39.0,5.0,15.5,Fem,True,4.0,China,105.0,1360720000,9055
33.0,7.0,22.0,Masc,False,1.0,China,24.0,1360720000,9055
39.0,5.0,28.0,Fem,False,1.0,China,54.0,1360720000,9055
47.0,8.0,31.24376731301939,Fem,False,4.0,China,245.0,1360720000,9055
38.0,3.0,44.0,Fem,False,7.0,China,79.0,1360720000,9055
28.0,8.0,15.5,Fem,False,6.0,China,106.0,1360720000,9055
53.0,5.0,42.0,Fem,True,6.0,China,76.0,1360720000,9055
41.0,6.0,44.0,Fem,False,3.0,China,65.0,1360720000,9055
30.0,8.0,28.0,Fem,False,7.0,China,125.0,1360720000,9055
32.0,8.0,15.5,Fem,True,4.0,China,130.0,1360720000,9055
34.0,4.0,28.0,Fem,False,3.0,China,48.0,1360720000,9055
37.0,2.0,44.0,Fem,False,1.0,China,46.0,1360720000,9055
23.0,5.0,10.0,Fem,True,4.0,China,121.0,1360720000,9055
33.0,5.0,44.0,Fem,False,5.0,China,143.0,1360720000,9055
29.0,5.0,44.0,Masc,True,4.0,China,234.0,1360720000,9055
41.0,7.0,57.0,Masc,True,4.0,China,191.0,1360720000,9055
40.0,8.0,42.0,Masc,False,3.0,China,66.0,1360720000,9055
43.0,6.0,42.0,Fem,False,2.0,China,36.0,1360720000,9055
29.0,3.0,31.24376731301939,Masc,False,6.0,China,139.0,1360720000,9055
44.0,8.0,31.24376731301939,Masc,False,3.0,China,115.0,1360720000,9055
44.0,5.0,57.0,Fem,False,6.0,China,132.0,1360720000,9055
33.0,10.0,31.24376731301939,Masc,False,5.0,China,81.0,1360720000,9055
32.0,4.0,28.0,Fem,False,5.0,China,109.0,1360720000,9055
33.0,5.725133689839573,31.24376731301939,Fem,False,6.0,China,113.53497516556291,1360720000,9055
51.0,8.0,15.5,Masc,False,4.0,China,56.0,1360720000,9055
30.0,4.0,31.24376731301939,Fem,False,7.0,China,215.0,1360720000,9055
30.0,5.0,28.0,Masc,False,0.0,China,57.0,1360720000,9055
28.0,7.0,42.0,Masc,False,1.0,China,24.0,1360720000,9055
42.0,6.0,31.24376731301939,Masc,False,4.0,China,238.0,1360720000,9055
25.0,4.0,15.5,Masc,True,2.0,China,66.0,1360720000,9055
26.0,5.0,22.0,Fem,False,7.0,China,70.0,1360720000,9055
43.0,5.725133689839573,22.0,Masc,False,2.0,China,34.0,1360720000,9055
33.0,10.0,15.5,Fem,True,4.0,China,56.0,1360720000,9055
41.0,8.0,31.24376731301939,Fem,False,5.0,China,255.0,1360720000,9055
31.0,6.0,57.0,Fem,False,2.0,China,60.0,1360720000,9055
28.0,4.0,22.0,Fem,False,7.0,China,118.0,1360720000,9055
35.0,7.0,22.0,Fem,True,5.0,China,96.0,1360720000,9055
31.0,5.725133689839573,44.0,Fem,False,5.0,China,124.0,1360720000,9055
54.0,9.0,22.0,Fem,True,3.0,China,59.0,1360720000,9055
50.0,3.0,10.0,Fem,False,0.0,China,32.0,1360720000,9055
36.0,5.0,44.0,Fem,True,4.0,China,76.0,1360720000,9055
39.0,7.0,31.24376731301939,Fem,False,1.0,China,60.0,1360720000,9055
38.0,5.0,57.0,Fem,False,1.0,China,55.0,1360720000,9055
29.0,8.0,42.0,Fem,False,4.0,China,166.0,1360720000,9055
36.0,3.0,31.24376731301939,Masc,False,7.0,China,298.0,1360720000,9055
27.0,8.0,15.5,Masc,False,6.0,China,55.0,1360720000,9055
38.0,5.0,44.0,Masc,True,6.0,China,95.0,1360720000,9055
30.0,6.0,28.0,Fem,False,3.0,China,24.0,1360720000,9055
29.0,8.0,15.5,Masc,False,7.0,China,110.0,1360720000,9055
38.0,8.0,31.24376731301939,Masc,True,4.0,China,113.53497516556291,1360720000,9055
26.0,4.0,15.5,Fem,False,3.0,China,24.0,1360720000,9055
38.0,2.0,31.24376731301939,Masc,False,1.0,China,95.0,1360720000,9055
29.0,5.0,15.5,Fem,True,4.0,China,21.0,1360720000,9055
32.0,5.0,28.0,Fem,False,5.0,China,85.0,1360720000,9055
41.0,5.0,10.0,Masc,True,4.0,China,117.0,1360720000,9055
51.0,7.0,10.0,Fem,True,4.0,China,67.0,1360720000,9055
48.0,8.0,44.0,Masc,False,3.0,China,39.0,1360720000,9055
28.0,6.0,44.0,Masc,False,2.0,China,52.0,1360720000,9055
38.0,3.0,15.5,Masc,False,6.0,China,120.0,1360720000,9055
35.0,8.0,31.24376731301939,Masc,False,3.0,China,102.0,1360720000,9055
38.0,5.0,42.0,Fem,False,6.0,China,95.0,1360720000,9055
27.0,10.0,22.0,Masc,False,5.0,China,112.0,1360720000,9055
42.0,4.0,28.0,Fem,False,5.0,China,89.0,1360720000,9055
41.0,5.725133689839573,31.24376731301939,Fem,False,6.0,China,179.0,1360720000,9055
36.0,8.0,44.0,Fem,False,4.0,China,193.0,1360720000,9055
58.0,4.0,15.5,Fem,False,7.0,China,42.0,1360720000,9055
28.0,5.0,42.0,Fem,False,0.0,China,41.0,1360720000,9055
26.0,7.0,44.0,Fem,False,1.0,China,58.0,1360720000,9055
43.0,6.0,28.0,Fem,False,4.0,China,87.0,1360720000,9055
26.0,4.0,15.5,Fem,True,2.0,China,25.0,1360720000,9055
32.0,5.0,28.0,Fem,False,7.0,China,85.0,1360720000,9055
34.0,5.725133689839573,44.0,Fem,False,2.0,China,22.0,1360720000,9055
28.0,10.0,10.0,Fem,True,4.0,China,108.0,1360720000,9055
36.691505673106406,8.0,44.0,Fem,False,5.0,China,171.0,1360720000,9055
22.0,6.0,44.0,Masc,False,2.0,China,29.0,1360720000,9055
25.0,4.0,57.0,Masc,False,7.0,China,208.0,1360720000,9055
34.0,7.0,42.0,Masc,True,5.0,China,105.0,1360720000,9055
45.0,5.725133689839573,42.0,Fem,False,5.0,China,113.0,1360720000,9055
45.0,9.0,31.24376731301939,Masc,True,3.0,China,36.0,1360720000,9055
36.0,3.0,31.24376731301939,Masc,False,0.0,China,94.0,1360720000,9055
44.0,5.0,57.0,Fem,True,4.0,China,193.0,1360720000,9055
36.691505673106406,7.0,31.24376731301939,Masc,False,1.0,China,92.0,1360720000,9055
47.0,5.0,28.0,Fem,False,1.0,China,37.0,1360720000,9055
31.0,8.0,31.24376731301939,Fem,False,4.0,China,271.0,1360720000,9055
36.691505673106406,3.0,15.5,Masc,False,7.0,China,108.0,1360720000,9055
39.0,8.0,31.24376731301939,Fem,False,6.0,China,217.0,1360720000,9055
33.0,5.0,28.0,Masc,True,6.0,China,81.0,1360720000,9055
38.0,6.0,42.0,Masc,False,3.0,China,42.0,1360720000,9055
43.0,8.0,31.24376731301939,Masc,False,7.0,China,131.0,1360720000,9055
29.0,8.0,15.5,Masc,True,4.0,China,75.0,1360720000,9055
31.0,4.0,22.0,Fem,False,3.0,China,34.0,1360720000,9055
47.0,2.0,22.0,Masc,False,1.0,China,50.0,1360720000,9055
37.0,5.0,15.5,Fem,True,4.0,China,57.0,1360720000,9055
30.0,5.0,31.24376731301939,Fem,False,5.0,China,255.0,1360720000,9055
37.0,5.0,57.0,Fem,True,4.0,China,96.0,1360720000,9055
33.0,7.0,22.0,Fem,True,4.0,China,84.0,1360720000,9055
30.0,8.0,22.0,Fem,False,3.0,China,22.0,1360720000,9055
35.0,6.0,44.0,Fem,False,2.0,China,54.0,1360720000,9055
38.0,3.0,22.0,Fem,False,6.0,China,117.0,1360720000,9055
41.0,8.0,10.0,Fem,False,3.0,China,13.0,1360720000,9055
36.0,5.0,44.0,Fem,False,6.0,China,140.0,1360720000,9055
24.0,10.0,31.24376731301939,Fem,False,5.0,China,171.0,1360720000,9055
32.0,4.0,57.0,Fem,False,5.0,China,184.0,1360720000,9055
41.0,5.725133689839573,42.0,Fem,False,6.0,China,127.0,1360720000,9055
19.0,8.0,31.24376731301939,Masc,False,4.0,China,130.0,1360720000,9055
36.0,4.0,15.5,Masc,False,7.0,China,60.0,1360720000,9055
41.0,5.0,44.0,Masc,False,0.0,China,54.0,1360720000,9055
30.0,7.0,28.0,Fem,False,1.0,China,35.0,1360720000,9055
47.0,6.0,15.5,Masc,False,4.0,China,92.0,1360720000,9055
27.0,4.0,31.24376731301939,Masc,True,2.0,China,83.0,1360720000,9055
24.0,5.0,15.5,Fem,False,7.0,China,52.0,1360720000,9055
27.0,5.725133689839573,31.24376731301939,Masc,False,2.0,China,129.0,1360720000,9055
33.0,10.0,15.5,Fem,True,4.0,China,112.0,1360720000,9055
41.0,8.0,28.0,Fem,False,5.0,China,131.0,1360720000,9055
30.0,6.0,10.0,Masc,False,2.0,China,46.0,1360720000,9055
38.0,4.0,10.0,Fem,False,7.0,China,104.0,1360720000,9055
35.0,7.0,44.0,Masc,True,5.0,China,157.0,1360720000,9055
44.0,5.725133689839573,44.0,Masc,False,5.0,China,93.0,1360720000,9055
27.0,9.0,15.5,Masc,True,3.0,China,38.0,1360720000,9055
36.0,3.0,31.24376731301939,Masc,False,0.0,China,140.0,1360720000,9055
36.0,5.0,15.5,Fem,True,4.0,China,65.0,1360720000,9055
32.0,7.0,22.0,Masc,False,1.0,China,56.0,1360720000,9055
50.0,5.0,28.0,Fem,False,1.0,China,19.0,1360720000,9055
29.0,8.0,31.24376731301939,Fem,False,4.0,China,113.53497516556291,1360720000,9055
30.0,3.0,44.0,Fem,False,7.0,China,131.0,1360720000,9055
42.0,8.0,15.5,Fem,False,6.0,China,61.0,1360720000,9055
26.0,5.0,42.0,Fem,True,6.0,China,163.0,1360720000,9055
50.0,6.0,44.0,Fem,False,3.0,China,67.0,1360720000,9055
39.0,8.0,28.0,Fem,False,7.0,China,158.0,1360720000,9055
32.0,8.0,15.5,Fem,True,4.0,China,86.0,1360720000,9055
34.0,4.0,28.0,Fem,False,3.0,China,40.0,1360720000,9055
30.0,2.0,44.0,Fem,False,1.0,China,56.0,1360720000,9055
39.0,5.0,10.0,Fem,True,4.0,China,80.0,1360720000,9055
